,lat,lng,title,rating,coordinate
0,35.6976,139.7595,福よし 神保町 Fukuyoshi Jinbochou,4.8,"(35.6976, 139.7595)"
1,35.6976,139.7595,牛かつ黒べこ 神保町 Gyukatsu Kurobeko Jinbocho,4.7,"(35.6976, 139.7595)"
2,35.6739,139.7698,あぶくま三元豚ホルモン-米と豚　銀座店,4.0,"(35.6739, 139.7698)"
3,35.7121,139.776,ハードロックカフェ上野駅東京 Hard Rock Café Uyeno-eki Tokyo,4.5,"(35.7121, 139.776)"
4,35.6969,139.7575,赤身厳選神保町精肉処,4.5,"(35.6969, 139.7575)"
5,35.6649,139.7726,肉垣精肉店 nikugaki butcher shop,,"(35.6649, 139.7726)"
6,35.6927,139.7709,牛たん とろろ 麦めし ねぎし 神田駅前店 Negishi Kanda Station,,"(35.6927, 139.7709)"
7,35.6739,139.7698,タコライス専門店 KING CAFE 銀座店,4.4,"(35.6739, 139.7698)"
12,35.6739,139.7698,トリュフ醤油卵かけご飯専門店 卵と米,,"(35.6739, 139.7698)"
13,35.6867,139.7822,丸鶏唐揚げ専門店　まるどりや　人形町本店,4.3,"(35.6867, 139.7822)"
14,35.6739,139.7698,チキンオーバーライス専門店　ニューヨークハラルキッチン銀座店,4.3,"(35.6739, 139.7698)"
16,35.6976,139.7595,マッスルファクトリー 神保町,4.7,"(35.6976, 139.7595)"
17,35.6913,139.77,タコライス専門店 KINGCAFE 神田店,,"(35.6913, 139.77)"
18,35.6773,139.7726,海南カオマンガイ　東京店,4.1,"(35.6773, 139.7726)"
19,35.6977,139.7745,しゃぶしゃぶ温野菜 秋葉原昭和通り口店 Shabu Shabu Onyasai Akihabara Showa Dori,4.4,"(35.6977, 139.7745)"
20,35.6695,139.7619,おでん 俺のだし Oden Oreno Dashi,4.5,"(35.6695, 139.7619)"
21,35.6923,139.7814,ThreeStar海南鶏飯 馬喰町店,4.2,"(35.6923, 139.7814)"
23,35.6794,139.7618,クリスプ・サラダワークス丸の内店 CRISP SALAD WORKS Marunouchi,4.8,"(35.6794, 139.7618)"
24,35.6962,139.8339,もつ鍋ホルモン焼き　がばい,,"(35.6962, 139.8339)"
26,35.6808,139.7735,寝かせ玄米と日本のいいものいろは日本橋髙島屋S.C.店,,"(35.6808, 139.7735)"
29,35.6731,139.7667,bills 銀座,,"(35.6731, 139.7667)"
30,35.6863,139.7812,LENN CAFÉ日本橋店,,"(35.6863, 139.7812)"
31,35.6743,139.764,バインセオサイゴン有楽町 Banh Xeo Saigon Yurakucho,,"(35.6743, 139.764)"
32,35.6736,139.7704,ドミノ・ピザ 銀座店 Domino's Pizza Ginza Store,4.4,"(35.6736, 139.7704)"
33,35.6862,139.7826,カレーハウス CoCo壱番屋 中央区人形町 Curry House CoCo Ichibanya Chuoku-Ningyocho,4.7,"(35.6862, 139.7826)"
34,35.6735,139.7605,添好運（ティム・ホー・ワン） 日比谷店 Tim Ho Wan Hibiya,4.8,"(35.6735, 139.7605)"
36,35.6683,139.7577,大戸屋ごはん処 フレッサイン新橋店 Ootoya Gohan-Dokoro Fresa Inn Shimbashi,4.6,"(35.6683, 139.7577)"
37,35.6749,139.765,餃子ラッシュ 銀座店,,"(35.6749, 139.765)"
39,35.6676,139.7597,俺のやきとり 銀座9丁目店 Oreno Yakitori Ginza 9Chome,4.4,"(35.6676, 139.7597)"
40,35.6978,139.7751,うわさの海鮮ローストビーフ 秋葉原店,,"(35.6978, 139.7751)"
41,35.6784,139.7626,ラ ブティック ドゥ ジョエル ロブション 丸の内店 LA BOUTIQUE de Joel Robuchon Marunouchi,4.7,"(35.6784, 139.7626)"
42,35.6739,139.7698,しっとりパンケーキ 恋するスフレ 銀座店,,"(35.6739, 139.7698)"
43,35.7,139.7474,飲むティラミス NOMU TIRAMISU 飯田橋店,,"(35.7, 139.7474)"
44,35.6742,139.7644,Cafe＆Dining ballo ballo 銀座店,4.1,"(35.6742, 139.7644)"
45,35.6983,139.7338,俺のグラタン神楽坂 by俺のフレンチ,4.6,"(35.6983, 139.7338)"
46,35.6962,139.779,フルーツ大福 anan 東神田店,,"(35.6962, 139.779)"
47,35.6964,139.7582,バナナジュース専門店 BANANA LAB 神保町店 BANANA LAB Jimbocho,,"(35.6964, 139.7582)"
49,35.6707,139.7994,やっぱりステーキ門前仲町店 YAPPARI STEAK Monzennakachouten,,"(35.6707, 139.7994)"
50,35.7038,139.7932,【特盛ご飯400ｇ無料！】ガッツリチキンオーバーライス,,"(35.7038, 139.7932)"
51,35.6826,139.7643,成城石井 新丸ビル店,,"(35.6826, 139.7643)"
52,35.6978,139.7751,あご出汁とろろ うみとやま 秋葉原店,,"(35.6978, 139.7751)"
53,35.7038,139.7932,手作り和食堂 壱後屋,,"(35.7038, 139.7932)"
54,35.698,139.7765,完全無添加スープ 濃厚鶏白湯ラーメン 博多 とりめん 秋葉原店,,"(35.698, 139.7765)"
55,35.7015,139.7453,赤身ステーキライス バターギャング 飯田橋 Steak over rice Butter gang Iidabashi,4.4,"(35.7015, 139.7453)"
56,35.687,139.7735,フレッシュネスバーガー 日本橋三井タワー Freshness Burger Nihonbashi Mitsui Tower,4.6,"(35.687, 139.7735)"
57,35.6777,139.7761,ローソン H八丁堀一丁目店 Lawson Hatchobori 1Chome,4.8,"(35.6777, 139.7761)"
58,35.6918,139.78,すき家 日本橋小伝馬町店 Sukiya Nihonbashi Kodenmacho,4.7,"(35.6918, 139.78)"
59,35.6931,139.7633,タリーズコーヒー 神田スクエア,,"(35.6931, 139.7633)"
60,35.7053,139.7548,ジョナサン 水道橋店 Jonathan's Suidobashi,4.9,"(35.7053, 139.7548)"
61,35.6747,139.7634,吉野家 有楽町店 Yoshinoya YURAKUCHO,4.9,"(35.6747, 139.7634)"
62,35.6776,139.7362,牛たんとろろ麦めしねぎし 赤阪見附店,4.6,"(35.6776, 139.7362)"
63,35.6931,139.7716,餃子の王将 神田東口,4.6,"(35.6931, 139.7716)"
64,35.6863,139.7291,ケンタッキーフライドチキン 四谷駅前店 Kentucky Fried Chicken Yotsuya,4.5,"(35.6863, 139.7291)"
65,35.6927,139.7709,牛たん とろろ 麦めし ねぎし 神田駅前店 Negishi Kanda Station,,"(35.6927, 139.7709)"
66,35.6679,139.7601,モスバーガー銀座ナイン店MosBurger GINZA NINE,4.6,"(35.6679, 139.7601)"
67,35.7066,139.7751,大戸屋ごはん処 御徒町南口店,4.7,"(35.7066, 139.7751)"
68,35.6877,139.7725,クリスプ・サラダワークス コレド室町テラス店 CRISP SALAD WORKS COREDO Muromachi Terrace,4.7,"(35.6877, 139.7725)"
